Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision,Fuente_TMAX,Fuente_TMIN,Fuente_Prec
2026-01-17,33.6,20.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-18,27.9,19.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-19,25.5,14.9,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-20,28.8,15.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-21,30.6,17.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-22,31.9,18.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-23,34.6,19.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-24,35.4,22.6,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-25,34.9,23.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-26,32.5,22.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-27,33.2,19.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-08-19T07:53:17-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
